session,club,ball_speed,launch_angle,azimuth,side_spin,back_spin,carry,tot_dist,offline,shot_no
1,Sand,60.8,45.6,-3.6,544,4139,61.06,67.54,-2.26,0
1,Sand,72.9,45,-8.9,281,2871,82.99,92.04,-11.93,1
1,Sand,62.6,42,11.5,2032,2787,66.74,75.6,25.46,2
1,Sand,80.7,1.7,11.3,-3612,8678,33.19,81.96,7.87,
1,Sand,64.3,25,9.3,4140,4847,64.93,76.56,25.88,3
1,Sand,65.1,16.3,8.3,3047,5051,57.53,77.5,21.62,4
1,PW,85.4,29.3,-13.1,0,7230,106.11,114.02,-26.71,5
1,PW,89.1,32.1,-9.2,340,6290,111.72,119.56,-16.7,6
1,PW,87,34.2,-8.3,410,5584,108.37,116.87,-13.66,7
1,PW,81.7,30.5,-10.4,46,6609,100.42,108.43,-19.89,8
1,PW,85.4,34,-5.9,1034,6179,104.5,111.99,-4,9
1,PW,88.1,28.1,-11,-405,7028,111.27,119.3,-26.47,10
1,PW,71.3,32.2,20.8,3632,4649,80.67,89.9,48.4,11
1,PW,84.3,29.2,-2,1643,7292,103.7,111.03,6.58,12
1,PW,95.3,29.8,-6,-765,6520,122.38,130.21,-21.31,13
1,PW,89.6,27.6,-8.8,-1637,6821,113.39,121.62,-31.73,14
1,7 IRON,89.3,29.6,-15.3,-340,6491,113.5,121.84,-35.68,15
1,7 IRON,82.5,31.1,-14.9,-173,6222,102.18,110.8,-30.42,16
1,7 IRON,76,30.7,-23.5,-3068,4892,89.62,99.38,-56.35,17
1,7 IRON,102.4,24,-10,-100,4448,144.39,157.04,-29.21,18
1,7 IRON,108.9,22.5,-6.9,247,4568,156.02,168.59,-16.01,19
1,7 IRON,89.9,28.3,-2.9,3513,6806,111.19,118.57,18.36,20
1,7 IRON,81.8,32.9,-17,-1261,7459,97.76,104.21,-38.11,21
1,7 IRON,92.6,28.6,-13.7,-201,7202,117.73,125.3,-32.07,22
1,7 IRON,78.3,18.5,-20,-1663,1322,81.99,109.9,-55.72,23
1,7 IRON,96.1,24.5,-9.6,-9,5674,128.82,139.46,-23.79,24
1,7 IRON,95.9,22.6,-8.8,669,4763,130.52,143.86,-13.57,25
1,7 IRON,85.2,20.6,9.1,5298,4838,95.03,107.01,45.13,26
1,7 IRON,96,12.5,5.7,-7503,7906,100.94,112.89,-22.52,27
1,7 IRON,105,23.1,-2.9,1605,5061,144.35,155.58,15.2,28
1,7 IRON,90.5,23.5,-11,869,4786,120.01,132.37,-16.09,29
1,7 IRON,98.7,25.5,-1.8,2459,6339,128.43,136.85,19.39,30
1,7 IRON,97,23.5,-7.1,1251,4737,131.74,144.1,-1.72,31
1,7 IRON,99.2,23.6,-5.5,1919,5737,131.78,142.34,7.61,32
1,4h,114.6,19.5,-6.5,1434,4664,163.28,176.03,6.37,33
1,4h,96.3,28.2,-10.8,730,5779,126.94,136.33,-18.04,34
1,4h,110.1,22.5,-7.2,1802,4952,152.87,164.11,7.67,35
1,4h,114.2,19.9,-6.9,1236,3804,167.35,181.96,5.1,36
1,4h,98.1,25.4,-7.6,714,3783,138.33,151.71,-8.6,37
1,4h,112.9,21.5,-5.4,1162,4134,163.8,177.2,6.99,38
1,4h,113.6,20.5,-6.6,1461,4319,162.79,175.92,7.6,39
1,4h,94.9,28.9,-11.6,367,4886,127.17,137.86,-23.7,40
1,4h,107.1,22.6,-9.3,692,3736,156.58,170.95,-13.52,41
1,4h,98.9,26.4,-10.6,260,4262,137.98,150.2,-23.89,42
1,4h,104,26.6,-4.4,1460,5489,140.15,149.81,7.46,43
1,4h,89.7,36.5,-7.3,171,7573,105.43,111.21,-13.5,44
1,4h,106,26.3,-4.7,2431,6269,139.26,147.46,15.63,45
1,4h,110.1,21.6,-9.1,2014,5010,151.93,163.25,4.42,46
1,4h,79.1,39,-15.7,-656,6466,90.38,96.73,-30.56,47
1,4h,111.6,23.1,-4.2,2637,5361,150.99,160.94,24.99,48
1,4h,117.9,18.6,-3.7,2297,5385,162.84,173.91,25.25,49
1,4h,99.2,24,-9.1,2674,6121,129.39,138.43,4.14,50
1,4h,103.2,19.7,-8.4,3566,6006,132.74,143.42,14.37,51
1,4h,94.7,29.6,-8.8,2011,6704,120.12,127.66,-2.45,52
1,4h,50.9,18.9,-1.5,210,667,36.54,65.03,-0.39,53
1,4h,59,18,17.7,2529,3721,48.76,71.77,30.18,54
1,4h,37,30.4,-13.1,-4344,4065,24.9,32.53,-10.26,55
1,4h,79.4,15.5,-4.8,-454,1534,86.39,119.68,-17.46,56
2,Driver,100.4,21.3,4.8,1725,6437,133,143.37,30.22,
2,Driver,100.8,0.1,11.1,3932,3207,0,129.93,54.06,
2,Driver,97.4,20.6,-0.1,-201,3203,139.15,156.52,-4.21,
2,Driver,109.3,15.2,4.5,837,2461,159.08,183.12,37.11,
2,Driver,100,4.4,8.1,4185,4319,71.8,120.46,43.79,
2,Driver,65.2,14.9,23.6,487,634,50.33,86.54,39.64,
2,Driver,102,12.9,1.1,240,657,114.35,167.55,11.39,
2,Driver,63.1,29.6,-3.1,1492,6264,67.86,76.7,0.92,
2,Driver,68.8,29.6,-2.9,1178,6356,78.24,86.7,0.67,
2,Driver,66.2,31.1,-5.4,1425,7006,73.18,80.49,-2.83,
2,Driver,67,29.8,-2.7,1683,6070,74.79,83.86,2.86,
